what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1366977514692
stopped,bundle,org.eclipse.jst.server.ui,1.1.202.v20110419,"org.eclipse.jst.server.ui",1366977514692
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1366977514692
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1366977514692
stopped,bundle,org.eclipse.acceleo.compatibility.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.compatibility.ui",1366977514692
stopped,bundle,org.eclipse.acceleo.ide.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.ide.ui",1366977514692
stopped,bundle,org.eclipse.xpand.ui,1.0.1.v201108020519,"org.eclipse.xpand.ui",1366977514692
stopped,bundle,org.eclipse.emf.generic.editor,1.0.0.v201108020519,"org.eclipse.emf.generic.editor",1366977514692
stopped,bundle,org.eclipse.xtend.check.ui,1.0.1.v201108020519,"org.eclipse.xtend.check.ui",1366977514692
stopped,bundle,org.eclipse.xtend.typesystem.emf.ui,1.0.1.v201108020519,"org.eclipse.xtend.typesystem.emf.ui",1366977514707
stopped,bundle,org.eclipse.xtend.typesystem.uml2.ui,1.0.1.v201108020519,"org.eclipse.xtend.typesystem.uml2.ui",1366977514707
stopped,bundle,org.eclipse.xtend.typesystem.xsd.ui,1.0.1.v201108020519,"org.eclipse.xtend.typesystem.xsd.ui",1366977514707
stopped,bundle,org.eclipse.xtend.ui,1.0.1.v201108020519,"org.eclipse.xtend.ui",1366977514707
stopped,bundle,org.eclipse.xtend.shared.ui,1.0.1.v201108020519,"org.eclipse.xtend.shared.ui",1366977514707
stopped,bundle,org.eclipse.emf.mwe.ui,1.1.1.v201108020506,"org.eclipse.emf.mwe.ui",1366977514707
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1366977514707
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1366977514707
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1366977514707
stopped,bundle,org.eclipse.acceleo.examples,3.2.2.v20120807-0831,"org.eclipse.acceleo.examples",1366977514707
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.3.0.201301191623,"org.eclipse.gmf.bridge.ui.dashboard",1366977514707
stopped,bundle,org.eclipse.gmf.doc.ui,1.3.0.201301191623,"org.eclipse.gmf.doc.ui",1366977514707
stopped,bundle,org.eclipse.gmf.bridge.ui,1.4.0.201301191623,"org.eclipse.gmf.bridge.ui",1366977514707
stopped,bundle,org.eclipse.gmf.bridge.trace,1.3.0.201301191623,"org.eclipse.gmf.bridge.trace",1366977514707
stopped,bundle,org.eclipse.gmf.bridge,1.3.2.201301191623,"org.eclipse.gmf.bridge",1366977514723
stopped,bundle,org.eclipse.gmf.codegen.edit,2.9.1.201301191623,"org.eclipse.gmf.codegen.edit",1366977514723
stopped,bundle,org.eclipse.gmf.codegen,2.9.2.201301191623,"org.eclipse.gmf.codegen",1366977514723
